Studentnumber,Sex,School,Condition,Vocabulary,Wordchain,SumExpositoryTxt,SumNarrativeTxt,TotalSum_Readingcompr,ControlsumNarrativeTxt,ControlsumExpositoryTxt,Controlsum,Gaven2Mc,Gaven3Mc,Gaven4Mc,Gaven5Cr,Gaven6Cr,Gaven7Cr,Gaven8Cr,Gaven9Cr,Gaven10Mc,Gaven11Cr,Gaven12Cr,SH1Mc,SH3Mc,SH4Mc,SH5Mc,SH6Mc,SH10Mc,SH11Mc,SH12Mc,SH13Mc,SH15Mc,SH16Mc,SH17Mc,SH18Mc,SH19Mc,SH20Mc,SH21Mc,SH22Mc,SH24Cr,SH25Mc,SH26Mc,SH27Mc,Antarktis1,Antarktis2,Antarktis3,Antarktis4,Antarktis5,Antarktis6,Antarktis7,Antarktis8,Antarktis9,Antarktis10,Antarktis11,Antarktis12,Antarktis13,Antarktis14,Antarktis15,Antarktis16,Antarktis17,Antarktis18,Antarktis19,Coriander1,Coriander2,Coriander3,Coriander4,Coriander5,Coriander6,Coriander7,Coriander8,Coriander9,Coriander10,Coriander11,Coriander12,Coriander13,Coriander14,Coriander15,Spørsmål1,Spørsmål2,Spørsmål3,Spørsmål4,Spørsmål5,Spørsmål6,Spørsmål7,pgaven2Mc,pgaven3Mc,pgaven4Mc,pgaven5Cr,pgaven6cr,pgaven7Cr,pgaven8Cr,pgaven9Cr,pgaven10Mc,pgaven11cr,pgaven12Cr,X.1Score,X.2Score,X.3Score,X.4Score,X.5Score,X.6Score,X.7Score,X.8Score,X.9Score,X.10Score,X.11Score,X.12Score,X.13Score,X.14Score,X.15Score,X.16Score,X.17Score,X.18Score,X.19Score,X.20Score,X.21Score,X.22Score,X.23Score,X.24Score,X.25Score,X.26Score,X.27Score,X.28Score,X.29Score,X.30Score,X.31Score,X.32Score,X.33Score,X.34Score,pSH1,pSH3Mc,pSH4Mc,pSH5Mc,pSH6Mc,pSH10Mc,pSH11Mc,pSH12Mc,pSH13Mc,pSH15Mc,pSH16Mc,pSH17Mc,pSH18Mc,pSH19Mc,pSH20Mc,pSH21Mc,pSH22Mc,pSH24Cr,pSH25Mc,pSH26Mc,pSH27Mc,Paper_Paper,Paper_Computer,Computer_Computer
2602142,boy,1,paper,18,53,16,15,31,9,15,24,4,1,2,1,0,2,0,1,1,1,1,3,2,1,2,2,4,1,2,3,3,2,3,4,4,3,3,3,9,9,9,9,4,4,2,4,3,3,3,1,4,4,1,2,3,1,2,1,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,1,1,0,2,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
2602145,boy,1,paper,18,53,17,11,28,9,16,25,4,1,2,1,0,2,0,1,3,1,0,3,2,1,2,2,2,4,2,2,3,2,3,1,4,3,3,2,2,2,3,2,4,4,2,4,3,1,3,1,4,2,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,4,1,2,4,4,2,3,4,1,1,0,1,1,0,0,1,1,1,1,0,2,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
2602158,boy,1,paper,23,53,17,15,32,10,15,25,4,1,2,1,9,2,1,0,3,0,2,3,2,1,2,2,2,4,2,2,3,2,3,4,4,3,8,9,2,3,3,2,4,4,2,4,3,1,3,1,4,4,1,2,3,2,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,2,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2602177,boy,1,paper,10,50,13,10,23,7,2,9,4,1,2,1,9,1,0,1,2,1,0,1,4,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,4,3,3,3,4,4,3,1,2,3,4,2,4,4,1,4,3,2,2,2,4,8,2,2,1,2,1,4,1,3,2,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602261,boy,2,paper,22,52,18,13,31,6,13,19,4,1,3,1,9,2,0,0,3,9,9,3,2,1,2,2,1,4,2,2,3,2,3,2,4,3,1,1,9,1,2,1,4,4,1,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,4,2,3,8,1,2,3,2,1,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,2,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
2602282,boy,2,paper,16,51,17,7,24,6,16,22,4,1,2,9,9,9,9,1,3,1,9,3,4,1,2,2,3,4,2,2,3,2,4,1,4,3,3,3,2,3,3,2,4,4,1,4,3,1,3,1,4,3,1,2,3,1,2,3,4,1,4,3,2,2,1,1,8,2,1,3,2,2,1,3,3,2,1,1,0,1,0,0,9,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
2602286,boy,2,paper,21,35,12,8,20,5,10,15,4,2,2,1,0,1,0,0,3,0,0,2,4,1,2,3,4,1,1,4,3,1,4,1,4,1,1,1,2,3,3,2,4,4,3,4,1,2,3,1,4,4,1,2,3,1,4,4,3,4,4,2,4,3,1,2,8,1,2,3,2,1,2,1,3,4,1,1,5,4,1,0,9,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
2602287,boy,2,paper,17,42,17,11,28,3,12,15,4,1,2,9,9,9,9,9,9,9,9,1,2,1,2,2,3,1,2,2,3,2,9,1,8,3,9,3,9,9,9,9,4,4,4,4,3,1,3,1,4,3,1,2,3,4,2,3,4,1,4,3,4,1,2,3,8,1,4,3,2,1,4,1,3,3,1,1,0,0,1,0,9,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
2602138,girl,1,paper,18,51,16,14,30,7,7,14,4,1,2,1,9,2,1,0,4,0,0,3,2,1,2,2,9,1,2,9,1,9,9,9,9,9,9,9,9,9,9,9,4,1,2,4,3,1,2,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,1,4,1,1,0,4,1,0,9,1,1,1,1,0,2,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602156,girl,1,paper,17,47,18,15,33,12,3,15,4,1,3,1,9,2,1,2,3,1,2,1,2,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,0,1,0,2,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602168,girl,1,paper,18,51,17,12,29,11,10,21,4,1,2,1,2,2,1,1,3,0,0,2,4,1,3,2,4,1,2,9,3,2,2,1,8,3,3,9,9,9,9,9,4,4,1,4,3,1,3,1,4,4,1,2,3,1,2,3,4,2,4,3,2,2,2,3,8,1,4,3,2,4,4,1,1,4,1,1,0,0,1,0,9,1,1,1,1,2,2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
2602300,girl,2,paper,22,50,17,15,32,12,17,29,4,1,2,1,1,2,1,0,3,1,2,3,2,1,2,2,1,1,2,2,3,2,3,4,4,3,3,4,0,3,2,2,4,4,4,4,3,3,3,1,4,4,1,2,3,1,2,1,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0
2602302,girl,2,paper,23,47,19,10,29,13,4,17,4,1,2,1,1,2,0,1,3,2,2,8,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,4,2,2,4,8,1,2,1,2,1,2,1,2,4,1,1,0,0,1,0,0,1,1,1,1,1,2,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602139,boy,1,electronic,21,32,17,15,32,13,14,27,4,1,2,1,2,2,1,1,3,2,0,3,4,1,2,2,4,1,2,2,3,2,3,1,8,3,8,3,1,9,9,9,4,4,2,4,4,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,1,1,2,2,1,1,1,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
2602141,boy,1,electronic,18,51,10,3,13,10,17,27,4,1,2,1,1,2,0,9,3,0,2,3,2,1,2,2,4,1,1,2,3,2,3,1,1,3,3,4,1,3,2,2,4,1,4,3,2,1,3,1,2,1,1,3,3,1,2,1,2,2,4,3,3,1,1,2,8,2,2,4,2,2,2,2,4,3,1,1,1,1,1,0,0,1,1,1,1,1,2,0,0,1,0,2,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1
2602148,boy,1,electronic,17,50,14,14,28,12,17,29,4,1,2,1,2,2,0,1,1,1,2,3,2,1,2,2,4,1,2,2,3,2,3,4,2,3,1,3,2,1,2,2,3,4,1,4,3,3,3,1,4,3,1,2,3,1,2,4,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,2,4,1,1,0,1,1,0,0,1,1,1,1,2,2,0,1,0,1,2,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1
2602169,boy,1,electronic,18,41,10,8,18,8,13,21,4,1,2,1,9,2,9,9,3,1,9,1,9,2,2,2,4,1,2,2,3,2,3,9,2,3,3,4,9,3,3,2,4,3,1,4,1,2,3,1,1,3,1,2,3,1,2,4,2,3,4,3,1,1,2,3,8,3,4,1,2,1,2,1,4,4,1,1,1,1,1,0,9,1,1,1,1,0,2,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1
2602172,boy,1,electronic,20,29,16,7,23,9,1,10,4,1,2,9,0,2,0,1,3,1,1,1,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,4,1,3,3,1,4,4,1,2,3,1,2,3,4,1,4,1,2,2,4,1,8,2,1,3,2,2,4,1,2,1,1,1,0,1,0,0,9,1,1,1,0,0,2,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2602264,boy,1,electronic,18,45,3,2,5,4,5,9,2,1,2,1,0,0,0,1,8,9,9,3,1,2,3,2,2,4,2,1,4,1,2,3,4,2,1,4,9,3,3,4,3,2,2,2,3,3,1,4,1,3,2,4,2,3,3,3,2,2,4,1,3,2,3,4,8,1,1,1,4,3,3,3,1,1,1,1,1,0,1,0,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2602267,boy,1,electronic,22,52,18,11,29,14,13,27,4,1,2,1,2,2,0,2,3,1,2,3,2,1,2,2,4,1,2,2,3,2,3,1,9,9,9,9,9,9,9,9,4,4,4,4,3,1,3,1,4,4,1,2,3,1,2,3,4,3,4,3,2,3,2,4,8,2,2,3,2,1,4,4,3,4,1,1,7,1,1,0,9,1,1,1,1,2,2,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2602268,boy,1,electronic,19,51,16,10,26,10,2,12,4,1,2,1,1,2,0,0,8,1,2,1,4,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,3,3,1,3,1,4,3,1,2,3,1,2,3,1,1,4,3,2,2,2,4,8,2,2,3,2,3,4,3,1,4,1,1,0,1,1,0,9,1,1,1,1,1,2,0,0,0,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2602273,boy,2,electronic,21,46,8,2,10,3,3,6,4,1,3,0,0,0,0,0,3,9,9,1,4,3,1,3,3,2,2,3,3,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,9,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2602278,boy,2,electronic,13,35,15,9,24,10,1,11,4,1,2,0,1,2,0,1,3,0,2,1,4,2,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,2,4,2,1,3,1,4,4,1,2,3,1,2,4,4,1,3,3,2,2,4,1,8,2,2,3,3,3,4,4,3,4,1,1,1,4,1,0,9,1,1,1,0,1,2,0,1,1,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2602279,boy,2,electronic,22,36,17,9,26,8,3,11,4,1,2,1,0,2,0,0,3,1,0,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,4,3,1,3,1,4,4,1,2,3,1,9,3,4,1,4,9,2,3,2,3,8,1,2,1,2,1,3,3,3,2,1,1,0,1,1,0,9,1,1,1,1,0,2,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2602281,boy,2,electronic,13,45,11,2,13,5,5,10,4,2,2,0,1,0,9,1,3,0,0,3,1,2,1,4,1,3,1,3,3,2,3,4,1,1,9,4,9,2,2,1,4,2,2,4,3,1,3,1,4,3,1,2,4,3,1,3,9,2,4,2,9,2,4,1,8,3,3,2,2,3,2,3,2,3,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
2602284,boy,2,electronic,13,50,14,5,19,9,12,21,4,1,2,0,1,2,0,1,3,1,0,3,2,2,2,2,2,4,2,2,3,2,3,3,1,1,4,4,9,3,2,2,4,4,2,4,3,1,3,1,2,4,1,1,3,1,2,1,4,2,4,1,4,1,2,3,8,2,3,3,2,3,2,2,4,2,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1
2602285,boy,2,electronic,13,16,3,3,6,5,6,11,4,1,2,1,0,9,0,0,2,1,0,3,2,1,1,4,3,2,2,3,4,1,4,1,2,2,2,1,9,2,2,4,4,4,2,3,1,4,4,2,2,2,1,4,4,2,4,4,1,4,2,4,4,3,3,1,8,2,2,2,1,2,1,2,3,4,1,1,1,1,1,9,8,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2602291,boy,2,electronic,20,49,18,13,31,5,7,12,4,1,2,0,1,1,0,0,4,9,0,3,4,1,4,2,1,3,2,2,3,3,3,3,2,9,9,9,9,9,9,9,4,4,2,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,1,2,3,8,1,2,3,2,1,4,3,3,4,1,1,0,4,1,0,9,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2602296,boy,2,electronic,13,44,15,12,27,6,3,9,4,1,2,1,1,0,9,1,1,9,9,3,1,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,4,3,1,3,1,4,1,1,2,3,4,2,4,4,1,4,3,4,2,2,3,8,1,4,3,2,1,4,1,3,3,1,1,0,0,6,0,9,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2602356,boy,2,electronic,21,47,16,4,20,6,14,20,4,1,2,0,1,1,0,0,3,9,0,3,2,1,2,1,8,9,2,3,3,2,3,1,4,3,8,3,0,3,3,2,4,4,1,4,3,1,3,2,4,2,1,2,3,1,2,3,4,1,4,2,3,4,3,3,8,3,2,3,3,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
2602146,girl,1,electronic,16,37,18,13,31,11,13,24,4,1,2,1,2,2,0,0,3,1,1,3,2,2,3,2,9,1,2,2,3,2,3,1,1,3,3,9,9,9,3,2,4,4,3,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,3,2,3,2,1,4,1,3,2,1,1,1,0,1,0,9,1,1,1,1,2,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
2602151,girl,1,electronic,19,51,12,11,23,7,10,17,4,4,2,1,0,2,1,0,3,9,9,3,4,9,9,2,4,1,4,2,3,2,9,9,1,3,3,4,9,2,3,2,4,2,2,4,3,3,3,1,4,2,2,2,3,1,1,1,4,1,4,4,2,2,2,3,8,1,2,1,2,2,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
2602175,girl,1,electronic,13,47,16,8,24,3,9,12,4,1,1,9,0,0,0,0,1,1,9,3,2,1,1,2,4,4,4,9,3,2,3,2,2,3,8,9,9,9,9,9,4,4,4,4,3,3,3,1,4,3,1,2,3,4,2,3,4,1,4,3,4,2,2,1,8,4,2,9,2,1,9,1,9,9,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
